place,province,lat,lng,beach,history,food,nature,adventure,culture,relax,photo,budget,family,crowd,best_months
phong nha,Quảng Bình,17.58137,106.28308,0.195,0.065,0.391,0.935,0.645,0.083,0.146,0.445,0.32633240045100004,1.0,0.875,mar-apr-may-jun-jul-aug
hang sơn đoòng,Quảng Bình,17.44415,106.29358,0.03,0.072,0.054,0.675,1.0,0.018,0.0,0.287,0.0,0.0,0.0,jan-feb-mar-apr-may-jun-jul-aug
hang va,Quảng Bình,17.48947,106.2848,0.027,0.0,0.04,0.575,0.89,0.003,0.075,0.177,0.11854882737322628,0.125,0.0,jan-feb-mar-apr-may-jun-jul-aug
biển nhật lệ,Quảng Bình,17.492663,106.627266,1.0,0.069,0.388,0.394,0.158,0.067,0.166,0.351,1.0,1.0,0.7499999999999999,apr-may-jun-jul-aug
cồn cát quang phú,Quảng Bình,17.5302,106.6218,0.527,0.017,0.063,0.288,0.261,0.005,0.055,0.383,1.0,0.7499999999999999,0.5,apr-may-jun-jul
vũng chùa - đảo yến,Quảng Bình,17.92969,106.5066,0.658,0.172,0.0,0.524,0.225,0.095,0.208,0.424,1.0,0.875,0.5,mar-apr-may-jun-jul-aug
quảng bình quan,Quảng Bình,17.46334,106.62405,0.028,0.32,0.265,0.079,0.07,0.15,0.139,0.433,1.0,1.0,0.37500000000000006,all-year
tượng đài mẹ suốt,Quảng Bình,17.46546,106.62714,0.07,0.483,0.218,0.082,0.064,0.125,0.166,0.258,1.0,1.0,0.37500000000000006,all-year
đền thờ liễu hạnh,Quảng Bình,17.953538,106.468953,0.26,0.103,0.091,0.273,0.168,0.431,0.377,0.324,1.0,0.875,0.24999999999999997,all-year
biển đá nhảy,Quảng Bình,17.662778,106.513056,0.645,0.027,0.075,0.347,0.183,0.078,0.122,0.856,1.0,0.7499999999999999,0.5,apr-may-jun-jul-aug
mộ đại tướng võ nguyên giáp,Quảng Bình,17.924949,106.494932,0.061,1.0,0.185,0.818,0.028,1.0,1.0,0.457,1.0,0.875,0.7499999999999999,all-year
thành cổ đồng hới,Quảng Bình ,17.468239,106.622957,0.03,0.817,0.142,0.248,0.0,0.802,0.649,0.273,1.0,0.875,0.24999999999999997,all-year
mũi trèo,Quảng Trị,17.0892,107.1123,0.476,0.019,0.054,0.298,0.519,0.041,0.082,0.367,1.0,0.37500000000000006,0.24999999999999997,mar-apr-may-jun-jul-aug
thánh địa la vang,Quảng Trị,16.7067,107.19556,0.017,0.266,0.256,0.064,0.156,0.432,0.459,0.463,1.0,1.0,0.625,all-year
sông đakrông,Quảng Trị,16.657389,106.816497,0.114,0.155,0.09,0.309,0.361,0.15,0.215,0.28,1.0,0.625,0.125,feb-mar-apr-may-jun-jul-aug
"núi talung, núi klu",Quảng Trị,16.657389,106.816497,0.043,0.123,0.106,0.465,0.611,0.229,0.159,0.241,1.0,0.24999999999999997,0.0,feb-mar-apr-may-jun-jul-aug
thành cổ quảng trị,Quảng Trị,16.75393,107.18954,0.0,0.637,0.097,0.174,0.069,0.157,0.123,0.491,1.0,1.0,0.5,all-year
địa đạo vịnh mốc,Quảng Trị,17.07467,107.1128,0.35,0.423,0.058,0.241,0.131,0.08,0.044,0.086,0.4052202118753022,0.625,0.625,feb-mar-apr-may-jun-jul-aug
làng cổ bích la,Quảng Trị,16.77685,107.18595,0.071,0.142,0.513,0.168,0.148,0.417,0.29,0.199,1.0,0.875,0.125,all-year
đảo cồn cỏ,Quảng Trị,17.15839,107.33983,0.735,0.197,0.206,0.584,0.267,0.031,0.029,0.351,1.0,0.625,0.24999999999999997,mar-apr-may-jun
chợ phiên cam lộ,Quảng Trị,16.816461,107.010006,0.021,0.09,0.705,0.17,0.133,0.105,0.089,0.241,1.0,0.875,0.5,all-year
nghĩa trang trường sơn,Quảng Trị,16.95858,106.95501,0.05,0.706,0.086,0.194,0.014,0.189,0.216,0.225,1.0,1.0,0.37500000000000006,all-year
biển cửa việt,Quảng Trị,16.912938,107.186422,0.91,0.096,0.471,0.269,0.179,0.059,0.159,0.578,1.0,1.0,0.625,apr-may-jun-jul-aug
chợ đông hà,Quảng Trị,16.8241,107.0992,0.136,0.128,0.84,0.141,0.048,0.115,0.156,0.485,1.0,0.875,0.7499999999999999,all-year
khe sanh,Quảng Trị,16.653294,106.723994,0.028,0.446,0.067,0.337,0.268,0.136,0.069,0.001,0.4052202118753022,0.875,0.37500000000000006,feb-mar-apr-may-jun-jul-aug
cửa khẩu lao bảo,Quảng Trị,16.622663,106.587632,0.065,0.097,0.284,0.217,0.149,0.076,0.104,0.281,1.0,0.625,0.625,all-year
bản vân kiều,Quảng Trị,16.6558,106.8139,0.005,0.214,0.411,0.162,0.207,0.355,0.217,0.307,1.0,0.625,0.125,feb-mar-apr-may-jun-jul-aug
đại nội huế,Huế,16.46897,107.57813,0.117,0.393,0.379,0.161,0.009,0.322,0.245,0.241,0.32901445247558064,0.875,1.0,feb-mar-apr
lăng cô,Huế,16.241,108.0782,0.83,0.127,0.252,0.348,0.192,0.043,0.173,0.261,1.0,1.0,0.625,mar-apr-may-jun-jul-aug
lăng tự đức,Huế,16.43256,107.56581,0.083,0.565,0.133,0.338,0.024,0.309,0.272,0.283,0.34482865587491585,0.875,0.7499999999999999,feb-mar-apr
lăng minh mạng,Huế,16.38772,107.56825,0.086,0.488,0.02,0.207,0.135,0.265,0.303,0.465,0.34482865587491585,0.7499999999999999,0.625,feb-mar-apr
sông hương,Huế,16.54674,107.6258,0.308,0.214,0.4,0.18,0.056,0.212,0.198,1.0,1.0,1.0,0.7499999999999999,feb-mar-apr-may-jun-jul-aug
chợ đông ba,Huế,16.47253,107.58866,0.048,0.103,1.0,0.076,0.046,0.098,0.163,0.0,1.0,0.7499999999999999,0.875,all-year
núi ngự bình,Huế,16.4418,107.59613,0.031,0.091,0.126,0.199,0.16,0.103,0.198,0.463,1.0,0.5,0.24999999999999997,feb-mar-apr
đồi vọng cảnh,Huế,16.42707,107.56257,0.031,0.176,0.064,0.191,0.224,0.0,0.077,0.305,1.0,0.875,0.5,feb-mar-apr-may
làng nón phú cam,Huế,16.45263,107.58781,0.041,0.185,0.291,0.0,0.054,0.314,0.253,0.529,1.0,0.875,0.125,all-year
làng hương thủy xuân,Huế,16.4242,107.5583,0.057,0.111,0.368,0.14,0.0,0.428,0.331,0.571,1.0,1.0,0.875,feb-mar-apr-may
nhà vườn an hiên,Huế,16.4542,107.55224,0.075,0.105,0.231,0.234,0.095,0.206,0.212,0.286,0.4052202118753022,1.0,0.24999999999999997,feb-mar-apr-may
chùa thiên mụ,Huế,16.45242,107.54504,0.142,0.235,0.172,0.176,0.094,0.299,0.293,0.172,1.0,0.875,0.875,feb-mar-apr-may
đầm chuồn,Huế,16.516259,107.643759,0.786,0.117,0.49,0.409,0.186,0.137,0.104,0.453,0.34482865587491585,0.7499999999999999,0.37500000000000006,mar-apr-may-jun-jul-aug
vườn quốc gia bạch mã,Huế,16.2,107.8667,0.167,0.171,0.072,1.0,0.305,0.033,0.114,0.087,0.39079792668628227,0.5,0.5,mar-apr-may-jun-jul-aug
cầu qua phá tam giang,Huế,16.58219,107.5885,0.442,0.062,0.375,0.34,0.252,0.168,0.279,0.293,1.0,1.0,0.24999999999999997,feb-mar-apr-may-jun-jul-aug
