place,lat,lng
Phong Nha,17.581.370,106.283.080
Hang Sơn Đoòng,17.444.150,106.293.580
Hang Va,17.489.470,106.284.800
Biển Nhật Lệ,17.492.663,106.627.266
Cồn cát Quang Phú,17.530.200,106.621.800
Vũng Chùa – Đảo Yến,17.929.690,106.506.600
Quảng Bình Quan,17.463.340,106.624.050
Tượng đài Mẹ Suốt,17.465.460,106.627.140
Đền thờ Liễu Hạnh,17.953.538,106.468.953
Biển Đá Nhảy,17.662.778,106.513.056
Mũi Trèo,17.089.200,107.112.300
Thánh địa La Vang,16.706.700,107.195.560
Sông Đakrông,16.657.389,106.816.497
"Núi Tà Lung, núi Klu",16.657.389,106.816.497
Thành cổ Quảng Trị,16.753.930,107.189.540
Địa đạo Vịnh Mốc,17.074.670,107.112.800
Làng cổ Bích La,16.776.850,107.185.950
Đảo Cồn Cỏ,17.158.390,107.339.830
Chợ phiên Cam Lộ,16.816.461,107.010.006
Nghĩa trang Trường Sơn,16.958.580,106.955.010
Biển Cửa Việt,16.912.938,107.186.422
Chợ Đông Hà,16.824.100,107.099.200
Khe Sanh,16.653.294,106.723.994
Cửa khẩu Lao Bảo,16.622.663,106.587.632
Bản Vân Kiều,16.655.800,106.813.900
Đại Nội Huế,16.468.970,107.578.130
Lăng Cô,16.241.000,108.078.200
Lăng Tự Đức,16.432.560,107.565.810
Lăng Minh Mạng,16.387.720,107.568.250
Sông Hương,16.546.740,107.625.800
Chợ Đông Ba,16.472.530,107.588.660
Núi Ngự Bình,16.441.800,107.596.130
Đồi Vọng Cảnh,16.427.070,107.562.570
Làng nón Phú Cam,16.452.630,107.587.810
Làng hương Thủy Xuân,16.424.200,107.558.300
Nhà vườn An Hiên,16.454.200,107.552.240
Chùa Thiên Mụ,16.452.420,107.545.040
Đầm Chuồn,16.516.259,107.643.759
Vườn Quốc gia Bạch Mã,16.200.000,107.866.700
Cầu qua Phá Tam Giang,16.582.190,107.588.500
