profile,day,stop_order,place,province,leg_km,time_travel,day_total_km,time_travel_total
user_1,1,1,Cầu qua Phá Tam Giang,Huế,9.4,0.2,64.9,1.6
user_1,1,2,Đầm Chuồn,Huế,55.5,1.4,64.9,1.6
user_1,1,3,Lăng Cô,Huế,0.0,0.0,64.9,1.6
user_1,2,1,Vũng Chùa - Đảo Yến,Quảng Bình,0.0,0.0,0.0,0.0
user_1,3,1,Đảo Cồn Cỏ,Quảng Trị,0.0,0.0,0.0,0.0
user_1,4,1,Cồn cát Quang Phú,Quảng Bình,4.2,0.1,4.2,0.1
user_1,4,2,Biển Nhật Lệ,Quảng Bình,0.0,0.0,4.2,0.1
user_1,5,1,Mũi Trèo,Quảng Trị,1.6,0.0,21.2,0.5
user_1,5,2,Địa đạo Vịnh Mốc,Quảng Trị,19.6,0.5,21.2,0.5
user_1,5,3,Biển Cửa Việt,Quảng Trị,0.0,0.0,21.2,0.5
