place,province,beach,history,food,nature,adventure,culture,relax,photo,cave
Phong Nha,Quảng Bình,0.030102,0.018416,0.038290,0.134600,0.089904,0.028649,0.059976,0.045884,0.137434
Hang Sơn Đoòng,Quảng Bình,0.004578,0.018894,0.005210,0.097168,0.137057,0.012441,0.006839,0.034741,0.143592
Hang Va,Quảng Bình,0.004178,0.008746,0.003935,0.084054,0.122470,0.008523,0.047732,0.027045,0.125835
Biển Nhật Lệ,Quảng Bình,0.153495,0.018590,0.038167,0.060984,0.025241,0.024218,0.072833,0.039278,0.007443
Cồn cát Quang Phú,Quảng Bình,0.080945,0.011022,0.006138,0.044293,0.039006,0.008712,0.044329,0.041496,0.005446
Vũng Chùa - Đảo Yến,Quảng Bình,0.100967,0.033321,0.000000,0.076229,0.034210,0.030943,0.096675,0.044505,0.016059
Quảng Bình Quan,Quảng Bình,0.004389,0.054698,0.025836,0.015136,0.013640,0.044905,0.031858,0.045721,0.010077
Tượng đài Mẹ Suốt,Quảng Bình,0.010793,0.076841,0.021494,0.015688,0.012895,0.039335,0.038352,0.032705,0.007124
Đền thờ Liễu Hạnh,Quảng Bình,0.039855,0.023857,0.009079,0.041657,0.026590,0.116980,0.050609,0.038275,0.009355
Biển Đá Nhảy,Quảng Bình,0.098983,0.012651,0.007964,0.052075,0.028668,0.028418,0.041167,0.074697,0.025218
Mộ Đại Tướng Võ Nguyên Giáp ,Quảng Bình,0.008846,0.174087,0.012601,0.089059,0.008186,0.256499,0.020608,0.046604,0.018601
Thành cổ Đồng Hới ,Quảng Bình ,0.004627,0.126585,0.014067,0.039476,0.004335,0.213377,0.017455,0.034564,0.019114
Mũi Trèo,Quảng Trị,0.073076,0.011297,0.005240,0.045287,0.073196,0.017766,0.039226,0.040477,0.014637
Thánh địa La Vang,Quảng Trị,0.002581,0.047194,0.024965,0.012903,0.024919,0.119627,0.064923,0.047328,0.011690
Sông Đakrông,Quảng Trị,0.017455,0.030319,0.008833,0.046665,0.052295,0.045272,0.070619,0.034248,0.015638
"Núi Talung, núi Klu",Quảng Trị,0.006611,0.026566,0.010340,0.068415,0.085395,0.064557,0.038274,0.031472,0.012463
Thành cổ Quảng Trị,Quảng Trị,0.000000,0.100173,0.009555,0.028761,0.013451,0.047339,0.009661,0.049568,0.005574
Địa đạo Vịnh Mốc,Quảng Trị,0.053707,0.067725,0.005723,0.037481,0.021704,0.027528,0.016555,0.020685,0.014013
Làng cổ Bích La,Quảng Trị,0.010871,0.029305,0.049783,0.027300,0.023897,0.114541,0.029882,0.028546,0.009660
Đảo Cồn Cỏ,Quảng Trị,0.112893,0.036731,0.020289,0.085849,0.039828,0.015354,0.022361,0.039190,0.007901
Chợ phiên Cam Lộ,Quảng Trị,0.003375,0.021683,0.068875,0.028021,0.021963,0.033640,0.029235,0.031621,0.015537
Nghĩa trang Trường Sơn,Quảng Trị,0.007670,0.109824,0.008506,0.030872,0.006219,0.056162,0.029697,0.030731,0.004918
Biển Cửa Việt,Quảng Trị,0.139792,0.022575,0.046061,0.041217,0.028129,0.022113,0.075157,0.055190,0.009880
Chợ Đông Hà,Quảng Trị,0.021134,0.027152,0.082161,0.024214,0.010666,0.036604,0.047484,0.048779,0.011187
Khe Sanh,Quảng Trị,0.004314,0.072547,0.006500,0.050804,0.039849,0.041355,0.014895,0.014627,0.008225
Cửa khẩu Lao Bảo,Quảng Trị,0.010062,0.022631,0.027773,0.033965,0.024084,0.026554,0.040210,0.034480,0.019704
Bản Vân Kiều,Quảng Trị,0.000873,0.039482,0.040085,0.026506,0.031829,0.096952,0.025826,0.036026,0.010872
Đại Nội Huế,Huế,0.018120,0.065441,0.037167,0.026348,0.005512,0.088341,0.038478,0.032112,0.008494
Lăng Cô,Huế,0.127409,0.026929,0.024876,0.052065,0.029876,0.018614,0.085508,0.032881,0.004290
Lăng Tự Đức,Huế,0.012774,0.089832,0.013029,0.050556,0.007460,0.086782,0.030418,0.035233,0.021081
Lăng Minh Mạng,Huế,0.013153,0.079254,0.001922,0.032739,0.022225,0.075458,0.047329,0.047943,0.010096
Sông Hương,Huế,0.047244,0.039753,0.039087,0.029018,0.011711,0.060679,0.049755,0.084795,0.023618
Chợ Đông Ba,Huế,0.007450,0.023565,0.097509,0.014512,0.010444,0.032050,0.052873,0.014681,0.020067
Núi Ngự Bình,Huế,0.004810,0.021651,0.012434,0.031695,0.025582,0.033736,0.062382,0.047119,0.007862
Đồi Vọng Cảnh,Huế,0.004752,0.033611,0.006214,0.030472,0.034066,0.007711,0.049079,0.035939,0.005635
Làng nón Phú Cam,Huế,0.006302,0.035681,0.028333,0.004175,0.011555,0.087374,0.045562,0.051647,0.004073
Làng hương Thủy Xuân,Huế,0.008790,0.024513,0.035811,0.023564,0.004334,0.118035,0.030300,0.054667,0.009682
Nhà Vườn An Hiên,Huế,0.011566,0.023811,0.023173,0.036332,0.016906,0.059306,0.066918,0.035340,0.012836
Chùa Thiên Mụ,Huế,0.021823,0.042870,0.017650,0.028363,0.016790,0.085175,0.044220,0.027045,0.019663
Đầm Chuồn,Huế,0.120718,0.025508,0.048102,0.060532,0.028974,0.041989,0.036276,0.046386,0.003287
Vườn Quốc gia Bạch Mã,Huế,0.025668,0.033086,0.007002,0.144441,0.044864,0.015686,0.057466,0.020613,0.018985
Cầu qua Phá Tam Giang,Huế,0.067820,0.017878,0.036727,0.050945,0.037808,0.050346,0.094571,0.035114,0.014552
