place,province,beach,history,food,nature,adventure,culture,relax,photo,cave
Phong Nha,Quảng Bình,0.196,0.058,0.393,0.930,0.645,0.084,0.591,0.445,0.956
Hang Sơn Đoòng,Quảng Bình,0.030,0.061,0.053,0.663,1.000,0.019,0.000,0.287,1.000
Hang Va,Quảng Bình,0.027,0.000,0.040,0.569,0.890,0.003,0.455,0.177,0.873
Biển Nhật Lệ,Quảng Bình,1.000,0.060,0.391,0.405,0.158,0.066,0.735,0.351,0.030
Cồn cát Quang Phú,Quảng Bình,0.527,0.014,0.063,0.286,0.261,0.004,0.417,0.383,0.015
Vũng Chùa - Đảo Yến,Quảng Bình,0.658,0.149,0.000,0.514,0.225,0.093,1.000,0.426,0.091
Quảng Bình Quan,Quảng Bình,0.029,0.278,0.265,0.078,0.070,0.150,0.278,0.443,0.048
Tượng đài Mẹ Suốt,Quảng Bình,0.070,0.412,0.220,0.082,0.065,0.127,0.351,0.258,0.027
Đền thờ Liễu Hạnh,Quảng Bình,0.260,0.091,0.093,0.267,0.168,0.439,0.487,0.337,0.043
Biển Đá Nhảy,Quảng Bình,0.645,0.024,0.082,0.341,0.183,0.083,0.382,0.856,0.156
Mộ Đại Tướng Võ Nguyên Giáp ,Quảng Bình,0.058,1.000,0.129,0.605,0.029,1.000,0.153,0.456,0.109
Thành cổ Đồng Hới ,Quảng Bình ,0.030,0.713,0.144,0.252,0.000,0.827,0.118,0.284,0.113
Mũi Trèo,Quảng Trị,0.476,0.015,0.054,0.293,0.519,0.040,0.361,0.368,0.081
Thánh địa La Vang,Quảng Trị,0.017,0.233,0.256,0.062,0.155,0.450,0.647,0.466,0.060
Sông Đakrông,Quảng Trị,0.114,0.130,0.091,0.303,0.361,0.151,0.710,0.280,0.088
"Núi Talung, núi Klu",Quảng Trị,0.043,0.108,0.106,0.458,0.611,0.228,0.350,0.240,0.065
Thành cổ Quảng Trị,Quảng Trị,0.000,0.553,0.098,0.175,0.069,0.159,0.031,0.498,0.016
Địa đạo Vịnh Mốc,Quảng Trị,0.350,0.357,0.059,0.237,0.131,0.080,0.108,0.086,0.076
Làng cổ Bích La,Quảng Trị,0.071,0.124,0.511,0.165,0.147,0.429,0.257,0.198,0.045
Đảo Cồn Cỏ,Quảng Trị,0.735,0.169,0.208,0.582,0.267,0.031,0.173,0.350,0.033
Chợ phiên Cam Lộ,Quảng Trị,0.022,0.078,0.706,0.170,0.133,0.104,0.249,0.242,0.087
Nghĩa trang Trường Sơn,Quảng Trị,0.050,0.611,0.087,0.190,0.014,0.195,0.254,0.230,0.012
Biển Cửa Việt,Quảng Trị,0.911,0.084,0.472,0.264,0.179,0.058,0.760,0.578,0.047
Chợ Đông Hà,Quảng Trị,0.138,0.111,0.843,0.143,0.048,0.116,0.452,0.487,0.056
Khe Sanh,Quảng Trị,0.028,0.386,0.067,0.332,0.268,0.135,0.090,0.000,0.035
Cửa khẩu Lao Bảo,Quảng Trị,0.066,0.084,0.285,0.212,0.149,0.076,0.371,0.283,0.117
Bản Vân Kiều,Quảng Trị,0.006,0.186,0.411,0.159,0.207,0.359,0.211,0.305,0.054
Đại Nội Huế,Huế,0.118,0.343,0.381,0.158,0.009,0.324,0.352,0.249,0.037
Lăng Cô,Huế,0.830,0.110,0.255,0.341,0.192,0.044,0.876,0.260,0.007
Lăng Tự Đức,Huế,0.083,0.490,0.134,0.331,0.024,0.318,0.262,0.294,0.127
Lăng Minh Mạng,Huế,0.086,0.426,0.020,0.204,0.135,0.272,0.451,0.475,0.049
Sông Hương,Huế,0.308,0.188,0.401,0.177,0.056,0.213,0.478,1.000,0.145
Chợ Đông Ba,Huế,0.049,0.090,1.000,0.074,0.046,0.098,0.512,0.001,0.120
Núi Ngự Bình,Huế,0.031,0.078,0.128,0.196,0.160,0.105,0.618,0.463,0.033
Đồi Vọng Cảnh,Huế,0.031,0.150,0.064,0.187,0.224,0.000,0.470,0.304,0.017
Làng nón Phú Cam,Huế,0.041,0.163,0.291,0.000,0.054,0.320,0.431,0.528,0.006
Làng hương Thủy Xuân,Huế,0.057,0.095,0.367,0.138,0.000,0.443,0.261,0.571,0.046
Nhà Vườn An Hiên,Huế,0.075,0.091,0.238,0.229,0.095,0.207,0.669,0.295,0.068
Chùa Thiên Mụ,Huế,0.142,0.206,0.181,0.172,0.094,0.311,0.416,0.177,0.117
Đầm Chuồn,Huế,0.786,0.101,0.493,0.402,0.186,0.138,0.328,0.453,0.000
Vườn Quốc gia Bạch Mã,Huế,0.167,0.147,0.072,1.000,0.305,0.032,0.564,0.085,0.112
Cầu qua Phá Tam Giang,Huế,0.442,0.055,0.377,0.333,0.252,0.171,0.977,0.292,0.080
